POS,First Name,Last Name,TM,T,STU,MOV,CON,STU vL,MOV vL,CON vL,STU vR,MOV vR,CON vR,FB,CH,CB,SL,SI,SP,CT,CC,SC,KC,STM,GS,W,L,IP,BF,HA,1B,2B,3B,HR,ER,BB,IBB,K,ERA,AVG,OBP,SLG,OPS,BABIP,WHIP,GB,FB,ERA+,FIP,WAR,SLR
SP,Braxton,Garrett,ATL,L,16,13,15,16,13,15,16,13,15,14,17,19,-,-,-,-,-,-,-,16,33,12,13,195.2,819,187,126,33,3,25,97,59,3,196,4.46,0.252,0.312,0.406,0.719,0.309,1.26,214,150,99,3.91,3.8,"$7,968,750 "
SP,Corey,Kluber,WAS,R,14,14,13,14,14,12,14,14,13,13,14,15,-,11,-,14,-,-,-,10,33,10,9,184.2,777,161,110,37,3,11,78,59,2,153,3.8,0.232,0.302,0.341,0.644,0.28,1.19,205,178,114,3.52,4.4,"$7,100,000 "
SP,Luis,Monroy,MIA,L,20,9,13,20,9,14,20,9,13,15,20,16,-,-,-,13,-,-,-,13,31,11,7,181.1,709,119,72,21,5,21,55,48,0,235,2.73,0.184,0.248,0.329,0.577,0.249,0.92,150,141,160,3.11,5.3,"$535,000 "
SP,Aaron,Sanchez,POR,R,12,17,14,12,16,14,12,17,14,15,13,12,-,-,-,-,-,-,-,13,33,15,9,202.2,829,178,104,49,5,20,88,66,0,184,3.91,0.235,0.295,0.393,0.688,0.284,1.2,222,173,112,3.71,4.4,"$15,500,000 "
SP,Tyler,Skaggs,BAL,L,15,11,13,14,11,13,15,11,13,15,11,17,-,-,-,11,-,-,-,11,30,6,7,156.1,664,141,95,21,5,20,75,64,0,154,4.32,0.24,0.324,0.395,0.719,0.291,1.31,127,167,103,4.38,2.2,"$3,000,000 "
SP,Juan,Cervantes,LV,L,17,14,12,16,14,13,17,13,12,-,4,17,-,-,15,12,8,-,-,12,31,9,9,161.2,719,171,102,39,5,25,90,72,3,140,5.01,0.271,0.344,0.467,0.811,0.309,1.5,172,158,89,4.86,1.4,"$535,000 "
SP,Vladimir,Gutierrez,CAR,R,14,12,12,15,12,12,14,12,12,14,12,18,-,-,-,-,-,-,-,13,18,7,5,133.1,550,103,63,25,2,13,51,57,1,108,3.44,0.216,0.319,0.359,0.678,0.253,1.2,157,108,125,4.51,1,"$950,000 "
SP,Yohander,Mendez,TEX,L,13,12,16,13,12,16,13,12,16,12,18,13,-,-,-,-,-,-,-,12,32,5,14,169,719,178,100,41,5,32,93,42,0,152,4.95,0.27,0.321,0.492,0.813,0.304,1.3,165,163,90,4.85,1.5,"$10,640,000 "
SP,Mike,Soroka,CIN,R,12,15,15,13,14,15,12,15,15,13,12,16,-,-,-,-,-,-,-,17,29,13,6,185.2,775,181,116,44,2,19,70,48,3,132,3.39,0.257,0.313,0.406,0.719,0.291,1.23,218,180,131,4.08,3.3,"$2,934,000 "
SP,Michael,Wacha,WAS,R,13,14,15,13,14,15,13,14,15,14,14,9,-,-,-,12,-,-,-,14,33,13,8,200.2,840,202,139,39,8,16,86,47,1,138,3.86,0.262,0.304,0.396,0.7,0.298,1.24,232,208,116,3.66,4.6,"$10,050,000 "
SP,Luke,Weaver,STL,R,13,11,16,13,12,16,13,11,16,11,17,8,-,-,-,11,-,-,-,15,32,13,14,200.1,842,208,127,41,2,38,105,46,0,130,4.72,0.266,0.311,0.47,0.781,0.276,1.27,238,204,94,5.22,1,"$10,000,000 "
SP,Tyler,Benninghoff,MIN,R,14,11,16,14,11,16,14,11,16,13,19,10,-,-,-,-,-,-,-,13,32,10,8,181.2,783,189,129,30,1,29,94,62,1,125,4.66,0.268,0.336,0.438,0.773,0.289,1.38,184,207,96,5.16,1,"$535,000 "
SP,Conner,Greene,WAS,R,13,12,12,14,12,12,13,12,12,12,15,14,-,-,-,12,-,-,-,17,20,8,7,110,480,98,65,17,0,16,62,43,0,92,5.07,0.231,0.309,0.384,0.693,0.255,1.28,117,115,87,4.85,0.9,"$1,100,000 "
SP,Brent,Honeywell,LAD,R,14,12,15,15,13,16,14,12,15,12,16,11,-,-,-,-,-,16,-,16,33,12,12,190.1,803,194,122,34,9,29,90,42,0,181,4.26,0.26,0.305,0.446,0.751,0.306,1.24,204,164,103,4.12,3.1,"$9,750,000 "
SP,Ariel,Jurado,HOU,R,18,13,16,18,13,16,18,14,17,11,20,17,-,-,-,-,-,-,-,14,32,12,7,199.2,820,190,119,34,4,33,99,35,0,229,4.46,0.244,0.279,0.425,0.705,0.303,1.13,185,168,99,3.71,4.4,"$17,500,000 "
SP,Pablo,Lopez,SEA,R,9,14,17,9,14,17,8,14,17,12,9,6,-,-,-,-,-,-,-,16,24,9,9,159.2,683,170,120,31,1,18,84,49,3,52,4.73,0.274,0.331,0.415,0.746,0.273,1.37,213,187,92,5.08,0.6,"$535,000 "
SP,Steven,Matz,MIL,L,9,14,15,9,15,15,9,14,15,12,12,5,-,-,-,-,-,-,-,18,32,17,9,212.1,914,234,160,50,3,21,92,59,10,147,3.9,0.28,0.333,0.423,0.755,0.317,1.38,263,192,114,3.99,4,"$21,000,000 "
SP,Madison,Bumgarner,MIL,L,12,12,17,12,12,17,12,12,17,11,7,15,-,-,-,10,-,-,-,10,32,14,6,183,745,169,111,31,2,25,80,32,1,177,3.93,0.241,0.28,0.398,0.678,0.287,1.1,176,177,113,3.73,4,"$9,520,000 "
SP,Nabil,Crismatt,NYM,R,16,10,15,16,10,15,15,10,16,12,20,15,-,-,-,-,-,-,-,12,33,4,10,182.1,765,182,117,37,7,21,83,47,2,153,4.1,0.261,0.313,0.425,0.737,0.306,1.26,207,158,107,3.94,3.4,"$5,887,500 "
SP,Kyle,Hendricks,CIN,R,12,13,19,12,13,18,12,14,19,9,15,10,-,12,-,-,-,-,-,17,30,13,9,213.2,841,181,110,37,4,30,78,31,3,166,3.29,0.227,0.263,0.397,0.66,0.251,0.99,260,191,135,4.05,3.9,"$17,000,000 "
"Sunday, September 30th, 2018 - OOTP Baseball 19.8 Build 79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
